d1,d2,d3,d4,d5,y
269,263,271,259.5,260.5,257.5
263,271,259.5,260.5,257.5,269
271,259.5,260.5,257.5,269,268.5
259.5,260.5,257.5,269,268.5,274
260.5,257.5,269,268.5,274,265.5
257.5,269,268.5,274,265.5,266
269,268.5,274,265.5,266,267
268.5,274,265.5,266,267,268
274,265.5,266,267,268,266
265.5,266,267,268,266,260
266,267,268,266,260,261
267,268,266,260,261,215.5
268,266,260,261,215.5,213
266,260,261,215.5,213,207.5
260,261,215.5,213,207.5,207
261,215.5,213,207.5,207,227
215.5,213,207.5,207,227,238.5
213,207.5,207,227,238.5,237.5
207.5,207,227,238.5,237.5,238.5
207,227,238.5,237.5,238.5,243
227,238.5,237.5,238.5,243,243
238.5,237.5,238.5,243,243,239
237.5,238.5,243,243,239,234.5
238.5,243,243,239,234.5,231.5
243,243,239,234.5,231.5,234
243,239,234.5,231.5,234,231.5
239,234.5,231.5,234,231.5,242
234.5,231.5,234,231.5,242,236
231.5,234,231.5,242,236,234.5
234,231.5,242,236,234.5,236.5
231.5,242,236,234.5,236.5,235
242,236,234.5,236.5,235,234.5
236,234.5,236.5,235,234.5,231
234.5,236.5,235,234.5,231,242
236.5,235,234.5,231,242,247
235,234.5,231,242,247,270
234.5,231,242,247,270,271
231,242,247,270,271,269.5
242,247,270,271,269.5,270.5
247,270,271,269.5,270.5,276
270,271,269.5,270.5,276,298.5
271,269.5,270.5,276,298.5,305
269.5,270.5,276,298.5,305,317
270.5,276,298.5,305,317,315.5
276,298.5,305,317,315.5,311.5
298.5,305,317,315.5,311.5,311
